exception_id,rule,severity,estimated_exposure_inr,reason,source_refs,status
EX-036,BK-04 books-only item,MEDIUM,118000,"Book entry PMT-01150 2025-03-20 ref CHQ004512 Rs 1,18,000 never appeared in the bank statement.",bank_ledger.csv:PMT-01150,New
EX-033,BK-04 books-only item,MEDIUM,100000,"Book entry RCT-01151 2025-01-15 ref COLL20251 Rs 1,00,000 never appeared in the bank statement [stale >30 days at close].",bank_ledger.csv:RCT-01151,New
EX-034,BK-04 books-only item,MEDIUM,100000,"Book entry RCT-01152 2025-01-15 ref COLL20252 Rs 1,00,000 never appeared in the bank statement [stale >30 days at close].",bank_ledger.csv:RCT-01152,New
EX-035,BK-04 books-only item,MEDIUM,100000,"Book entry RCT-01153 2025-01-15 ref COLL20253 Rs 1,00,000 never appeared in the bank statement [stale >30 days at close].",bank_ledger.csv:RCT-01153,New
EX-023,GS-01 books-only (not in 2B),MEDIUM,82800,"Invoice SRT/0091 from Shri Ram Traders (Rs 5,42,800) is in the purchase register but absent from GSTR-2B. Potential ITC exposure Rs 82,800 — eligibility for professional review.",purchase_register.csv:SRT/0091,New
EX-026,GS-01 2B-only (not in books),MEDIUM,37854,"Supplier Imperial Paints filed invoice IP/3302 (2024-11-28, taxable Rs 2,10,300) in GSTR-2B but it is not booked — possible unrecorded purchase or supplier error.",gstr2b.csv:IP/3302,New
EX-024,GS-01 books-only (not in 2B),MEDIUM,33741,"Invoice TT/2287A from Trident Tools Ltd (Rs 2,21,191) is in the purchase register but absent from GSTR-2B. Potential ITC exposure Rs 33,741 — eligibility for professional review.",purchase_register.csv:TT/2287A,New
EX-019,GS-01 books-only (not in 2B),MEDIUM,23402,"Invoice SI006/2047 from Fortune Chemicals (Rs 1,53,415.34) is in the purchase register but absent from GSTR-2B. Potential ITC exposure Rs 23,402 — eligibility for professional review.",purchase_register.csv:SI006/2047,New
EX-025,GS-01 2B-only (not in books),MEDIUM,17370,"Supplier Ganga Traders filed invoice GT/8801 (2024-07-19, taxable Rs 96,500) in GSTR-2B but it is not booked — possible unrecorded purchase or supplier error.",gstr2b.csv:GT/8801,New
EX-021,GS-01 books-only (not in 2B),MEDIUM,14993,"Invoice SI039/2088 from Liberty Rubber Works (Rs 98,290.46) is in the purchase register but absent from GSTR-2B. Potential ITC exposure Rs 14,993 — eligibility for professional review.",purchase_register.csv:SI039/2088,New
EX-022,GS-01 value mismatch books vs 2B,MEDIUM,14745,"Invoice SI002/2130 (Balaji Packaging Co): books taxable Rs 1,63,833 vs 2B Rs 81,916.5. Tax difference Rs 14,745.",purchase_register.csv:SI002/2130 gstr2b.csv:SI002/2130,New
EX-017,GS-01 books-only (not in 2B),MEDIUM,10665,"Invoice SI037/2012 from Jyoti Electrodes (Rs 69,916.18) is in the purchase register but absent from GSTR-2B. Potential ITC exposure Rs 10,665 — eligibility for professional review.",purchase_register.csv:SI037/2012,New
EX-027,GS-01 2B-only (not in books),MEDIUM,9738,"Supplier Mount Cables filed invoice MC/1190 (2025-02-05, taxable Rs 54,100) in GSTR-2B but it is not booked — possible unrecorded purchase or supplier error.",gstr2b.csv:MC/1190,New
EX-018,GS-01 value mismatch books vs 2B,MEDIUM,2185,"Invoice SI028/2023 (Anand Auto Parts): books taxable Rs 1,21,410 vs 2B Rs 1,09,269. Tax difference Rs 2,185.",purchase_register.csv:SI028/2023 gstr2b.csv:SI028/2023,New
EX-020,GS-01 value mismatch books vs 2B,MEDIUM,1094,"Invoice SI011/2061 (Kaveri Transport Co): books taxable Rs 1,21,538 vs 2B Rs 1,27,614.9. Tax difference Rs 1,094.",purchase_register.csv:SI011/2061 gstr2b.csv:SI011/2061,New
EX-032,BK-04 bank-only item,LOW,2714,"Bank statement 2025-03-31 ""BANK CHARGES QTR4"" Rs 2,714 (debit) has no matching book entry.",bank_statement.csv:CHG20250331,New
EX-030,BK-04 bank-only item,LOW,2596,"Bank statement 2024-12-31 ""BANK CHARGES QTR3"" Rs 2,596 (debit) has no matching book entry.",bank_statement.csv:CHG20241231,New
EX-029,BK-04 bank-only item,LOW,2478,"Bank statement 2024-09-30 ""BANK CHARGES QTR2"" Rs 2,478 (debit) has no matching book entry.",bank_statement.csv:CHG20240930,New
EX-028,BK-04 bank-only item,LOW,2360,"Bank statement 2024-06-30 ""BANK CHARGES QTR1"" Rs 2,360 (debit) has no matching book entry.",bank_statement.csv:CHG20240630,New
